Product,NIC3,NIC3 code,Capital2Sales,codes,Activity Names,Ref Flow Names,location,amounts,Units,NPC_code,NPC_name,NPC_Unit,Conversion Factor
Gaseous Oxygen & Nitrogen,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,29f680560da9ccbb7b776ea7973b0c33,"air separation, cryogenic","oxygen, liquid",RoW,1,kilogram,3421099,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-",KG,1
Granite Cutting & Polishing,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,b922aed13a8c43cbe2c109818a00d017,"natural stone plate production, polished","natural stone plate, polished",RoW,1,kilogram,3769000,"Other worked monumental or building stone and articles thereof; other artificially coloured granules,",T,1000
Green Leaf Tobacco Threshing & drying,Manufacture of tobacco products ,120,2.378530782,8a345be5b97acfbeace9d6c9cb73a55a,"tea production, dried","tea, dried",RoW,1,kilogram,2501007,"Tobacco, dried",T,1000
Grinding of Plastic,Materials recovery,383,3.219869937,1a6720e85c6259e84e0f2d56e555eb44,"polyethylene production, high density, granulate, recycled","polyethylene, high density, granulate, recycled",RoW,1,kilogram,3927099,"Waste, parings and scrap of plastics n.e.c",KG,1
Hatcheries,Manufacture of other food products,107,1.246959641,bcc601b6a9dee2d8f22e1104f43bec7d,chicken production,"chicken for slaughtering, live weight",GLO,1,kilogram,2112100,"Meat of chickens, fresh or chilled",T,1000
Hawai Chappal,Manufacture of footwear,152,2.237873331,4db6ab40e86afab5f05c7af07da47967,"polyurethane production, flexible foam","polyurethane, flexible foam",RoW,1,kilogram,3479004,Polyurethane ( p u),T,1000
HDPE Pipes,Manufacture of plastics products,222,1.941952343,824f4060a3ad5e7328b2cfd307b0ef2d,"extrusion production, plastic pipes","extrusion, plastic pipes",RoW,1,kilogram,3471005,"High Density Polyethylene, HDPE",T,1000
Heat Treatment,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,92b526c8a2441b28a989d4e38178c572,"hot rolling, steel","hot rolling, steel",RoW,1,kilogram,4124499,"Bars and rods of alloy steel, not further worked than forged, hot-rolled, hot-drawn or extruded (except",T,1000
Herbal Extraction,Manufacture of other food products,107,1.246959641,8a345be5b97acfbeace9d6c9cb73a55a,"tea production, dried","tea, dried",RoW,1,kilogram,2391401,Herb Tea,LITRES,0.008
Honey Processing,Manufacture of other food products,107,1.246959641,c7c327dd3b2b04e306272af147042a67,ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation",RoW,1,kilogram,2321001,Artficial honey,T,1000
Hot Mix Plant,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,f00da390ff7d0dc1e208076332139738,mastic asphalt production,mastic asphalt,RoW,1,kilogram,3794000,"Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or",T,1000
Hotmix plant,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,f00da390ff7d0dc1e208076332139738,mastic asphalt production,mastic asphalt,RoW,1,kilogram,3794000,"Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or",T,1000
HT and LT panels with powder coating,Manufacture of other electrical equipment,279,1.472301231,a169c23725cd8331377c288c6801b0bd,"electronics production, for control units","electronics, for control units",RoW,1,kilogram,4621299,"Electrical apparatus for switching or protecting electrical circuits, for making connexions to or in",NOS,0.453592
Ice Block,Manufacture of other chemical products,202,2.603982374,0a857a7bfc1616eace601bf170c17b59,"tap water production, conventional treatment",tap water,RoW,1,kilogram,2227001,Ice  edible,KG,1
Ice Cream,Manufacture of dairy product,105,3.934165343,a13778917f2c2f9a9ac9ecdfb86dfde7,"yogurt production, from cow milk","cream, from cow milk",RoW,1,kilogram,2227003,Ice cream,KG,1
IML Bottling,Manufacture of beverages,110,1.476681288,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,2441099,"Bottled waters, not sweetened or flavoured, n.e.c.",TH. LITRES,1000
"Industrial Cloths, Battery holder bags",Manufacture of man-made fibers,203,1.894540133,3d1af71a62f2f7590920352e6af37f18,"textile production, woven cotton","textile, woven cotton",GLO,1,kilogram,2657002,"Canvas cloth, jute",T,1000
"Industrial diamond Wheels, Honing Stowers",Manufacture of general purpose machinery,282,2.030256709,6f15ae1c6c1e49f697683743792a577a,"metal working, average for chromium steel product manufacturing","metal working, average for chromium steel product manufacturing",RoW,1,kilogram,4441203,Diamond ore drilling accessories,NOS,18
Industrial Gas,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,29f680560da9ccbb7b776ea7973b0c33,"air separation, cryogenic","oxygen, liquid",RoW,1,kilogram,3421099,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-",KG,1
Injection moulded plastic,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3694035,Thermo farming producs plastic,T,1000
Insulated Material,Manufacture of man-made fibers,203,1.894540133,08a9bc58ce2d23794762ad09887c2a98,glass fibre production,glass fibre,RoW,1,kilogram,3214302,Insulation board,T,1000
Insulated Paper,Manufacture of paper and paper products,170,1.199184149,72b3fc81df1e033f7145a3ed589f3acd,"market for paper, woodfree, coated","paper, woodfree, coated",RoW,1,kilogram,3214915,Paper insulated,T,1000
Kraft Paper,Manufacture of paper and paper products,170,1.199184149,101421c7ab50fdfa09b38a1b8881513a,"kraft paper production, unbleached","kraft paper, unbleached",RoW,1,kilogram,3213399,"Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled n.e.c",T,1000
Laboratory Chemicals & Reagents,Manufacture of other chemical products,202,2.603982374,0c151cf2fbd03b3cdff3774024b08848,"hydrochloric acid production, from the reaction of hydrogen with chlorine","hydrochloric acid, without water, in 30% solution state",RoW,1,kilogram,3529014,Different reagents and kits used for diagnostic purposes,KG,1
Layout,Printing and service activites related to printing,181,1.123165273,bdf93c7ae55befc31e4c85758c062696,"offset printing, per kg printed paper","printed paper, offset",RoW,1,kilogram,3513004,Ink printing,KG,1
Lead acid batteries,Manufacture of batteries and accumulators,272,1.580544953,51583c2459894b85e70aa2fc6b65ad3f,"battery production, NiMH, rechargeable, prismatic","battery, NiMH, rechargeable, prismatic",GLO,1,kilogram,4641001,Batteries,T,1000
Lead Suboxide,Manufacture of other chemical products,202,2.603982374,21b7da96235d846abdfb74310c0fb2ea,primary lead production from concentrate,lead,GLO,1,kilogram,3422008,Lead oxide,T,1000
Led based emergency lamp & PCB Assembling,Manufacture of electric lighting equipment,274,2.16484929,c70944ca847d4f6eaa3e098f60ef0ea7,"printed wiring board production, for surface mounting, Pb free surface","printed wiring board, for surface mounting, Pb free surface",GLO,1,square meter,4713099,Printed circuits; n.e.c,NOS,1
LPG Bottling,Manufacture of refined petroleum products,192,4.071714278,17f10069c9ecbd27260ade550b354d24,"propane extraction, from liquefied petroleum gas",propane,GLO,1,kilogram,4222005,Liquefied petroleum gas ( LPG) cylinders of iron and steel,T,1000
Lubricants,Manufacture of refined petroleum products,192,4.071714278,e0318a6c1c25c62851371b5dd1252e33,lubricating oil production,lubricating oil,RoW,1,kilogram,3543003,Oil lubricating ( used in spinning etc.),LITRES,0.86
Machinery Manufacturing,Manufacture of special-purpose machinery,282,2.030256709,8719ad666a4c3e22008d232299eb3bbd,"agricultural machinery production, unspecified","agricultural machinery, unspecified",RoW,1,kilogram,4419899,"Other agricultural machinery,n.e.c",NOS,4900
Magnesium Nitrate,Manufacture of other chemical products,202,2.603982374,fc2514c67f4785fd407e5f3a17d86168,"magnesium production, electrolysis",magnesium,RoW,1,kilogram,3424032,Magnesium carbonate,KG,1
Medical Equipment,Manufacture of glass and glass products,231,0.902008331,550e1458447ba49686a45c92da33238e,"glass tube production, borosilicate","glass tube, borosilicate",RoW,1,kilogram,3529099,Other articles for medical or surgical purposes n.e.c,KG,1
Metal Fabrication,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,3870203,Fabricated metal products,T,1000
Micronutrients,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,45e4527d834a3ad59186957b65e29018,manganese sulfate production,manganese sulfate,GLO,1,kilogram,3525059,Multi-vitamin,KG,1
Milk chilling,Manufacture of dairy product,105,3.934165343,a13778917f2c2f9a9ac9ecdfb86dfde7,"yogurt production, from cow milk","cream, from cow milk",RoW,1,kilogram,2222902,Milk,T,1000
Milk Processing,Manufacture of dairy product,105,3.934165343,a13778917f2c2f9a9ac9ecdfb86dfde7,"yogurt production, from cow milk","cream, from cow milk",RoW,1,kilogram,2222902,Milk,T,1000
Mine,Manufacture of basic precious and other non-ferrous metals,242,1.642921293,b2237daa2e2cfe03c8a65e9dd00e0cfb,ilmenite - magnetite mine operation,magnetite,GLO,1,kilogram,1639003,"Magnesite, raw",T,1000
Mineral Water,Manufacture of beverages,110,1.476681288,e9c537fee0c44e8e9da6d89976457772,"tap water production, underground water with chemical treatment",tap water,RoW,1,kilogram,2441001,Bottled Mineral Water,TH. LITRES,1000
Mining,Manufacture of basic precious and other non-ferrous metals,242,1.642921293,b2237daa2e2cfe03c8a65e9dd00e0cfb,ilmenite - magnetite mine operation,magnetite,GLO,1,kilogram,1639003,"Magnesite, raw",T,1000
Modular Furnitures,Manufacture of furniture,310,1.452294202,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3529017,"Drip stand, table and other hospital furnitures",KG,1
Mosaic tiles,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,bed637f80428f2309dd4040696d98da0,ceramic tile production,ceramic tile,RoW,1,kilogram,3754000,"Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",T,1000
Mosquito Repellent mat,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3633009,Film plastic,KG,1
Mudguards,Manufacture of parts and accessories for motor vehicles,293,1.96355613,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3627011,Fabrication rubber,KG,1
Natural mixed extract,Manufacture of other food products,107,1.246959641,8a345be5b97acfbeace9d6c9cb73a55a,"tea production, dried","tea, dried",RoW,1,kilogram,3525098,Other Vitamins in tablet or injectable form,KG,1
Needle rollers,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,4299706,Needle rollers,T,1000
Neem oil extraction,Manufacture of Vegetable and animal oils and fats ,104,4.001774325,901d84b239ea2c0e3353ff58790fba77,"cottonseed oil, refined, to generic market for vegetable oil, refined","vegetable oil, refined",GLO,1,kilogram,2171009,"Oil-cake, neem seed",T,1000
"Neon Signs, Light Boxes, LED signs",Manufacture of electric lighting equipment,274,2.16484929,31afb3fe6b46d9fcf9db4d0d40d74987,light emitting diode production,light emitting diode,GLO,1,kilogram,4713099,Printed circuits; n.e.c,NOS,0.453592
News paper printing,Printing and service activites related to printing,181,1.123165273,bd5bde5a20c4573b3afe71e3166993ab,"paper production, newsprint, recycled","paper, newsprint",RoW,1,kilogram,3212199,Newsprint  n.e.c,KG,1
Nickel and Chrome Plating on job work basis,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,7985ad8ebcff5f78b82df020df74ae30,"powder coating, steel","powder coat, steel",RoW,1,square meter,3511078,Powder coating materials,T,8818.48
"Non woven fabric bags, paper bags",Manufacture of paper and paper products,170,1.199184149,101421c7ab50fdfa09b38a1b8881513a,"kraft paper production, unbleached","kraft paper, unbleached",RoW,1,kilogram,3213399,"Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled n.e.c",T,1000
"Oil Seals, Bearing Seals, Engine Seals",Manufacture of rubber products,221,2.135003155,1114d9ffde71c344503fab04bc7bea5f,"seal production, natural rubber based","seal, natural rubber based",RoW,1,kilogram,3627006,Component & parts rubber,T,1000
OPC 43 Grade Cement,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,b33883a362832eb40873fa8966d7796e,"cement production, Portland","cement, Portland",RoW,1,kilogram,3744008,"Cement, portland",T,1000
"Optical Fiber cables, Tubes & Electric Cables",Manufacture of wiring and wiring devices,273,2.792098392,1d459bcb3876f2e1c35555cc9596c07d,"cable production, network cable, category 5, without plugs","cable, network cable, category 5, without plugs",GLO,1,meter,4635002,Plastic insulated conductors for a voltage exceeding 1000 v,T,27777.77778
Oxygen gas,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,29f680560da9ccbb7b776ea7973b0c33,"air separation, cryogenic","oxygen, liquid",RoW,1,kilogram,3421099,"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-",KG,1
Packaged drinking water,Manufacture of beverages,110,1.476681288,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,2441001,Bottled Mineral Water,TH. LITRES,1000
Packaging Material,Manufacture of paper and paper products,170,1.199184149,21ef125ba2c04055bda066e676ec7a8b,corrugated board box production,corrugated board box,RoW,1,kilogram,3215101,Corrugated paper board,T,1000
Packaging of Edible oil,Manufacture of Vegetable and animal oils and fats ,104,4.001774325,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,3649005,Container plastic,KG,1
Paint & thinner,Manufacture of other chemical products,202,2.603982374,34451877bc07bc3eabd341d733798d71,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",RoW,1,kilogram,3511064,Paint,T,1000
Paint & Varnishes,Manufacture of other chemical products,202,2.603982374,34451877bc07bc3eabd341d733798d71,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",RoW,1,kilogram,3511064,Paint,T,1000
Paints,Manufacture of other chemical products,202,2.603982374,34451877bc07bc3eabd341d733798d71,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",RoW,1,kilogram,3511064,Paint,T,1000
Palm Oil,Manufacture of Vegetable and animal oils and fats ,104,4.001774325,90b5fe39c0a5fa8510c28ea05f00c39a,palm oil refinery operation,"palm oil, refined",GLO,1,kilogram,2154500,"Palm oil, refined",T,1000
Paper & Boards,Manufacture of paper and paper products,170,1.199184149,33e3ddd2f1356c531dd22bf8e6feaac1,"kraft paper production, bleached","kraft paper, bleached",RoW,1,kilogram,3213399,"Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled n.e.c",T,1000
PCB Assembling,Manufacture of electronic components,261,2.088342482,c70944ca847d4f6eaa3e098f60ef0ea7,"printed wiring board production, for surface mounting, Pb free surface","printed wiring board, for surface mounting, Pb free surface",GLO,1,square meter,4713099,Printed circuits; n.e.c,NOS,1
Pestisides,Manufacture of other chemical products,202,2.603982374,1364fd5e300dd9404c41374d6376a7ef,"pesticide production, unspecified","pesticide, unspecified",RoW,1,kilogram,3466600,Hazardous pesticides,T,1000
Pet Bottle preform,Manufacture of plastics products,222,1.941952343,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,3649005,Container plastic,KG,1
Pet Containers,Manufacture of plastics products,222,1.941952343,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,3649005,Container plastic,KG,1
Petroleum Product,Manufacture of refined petroleum products,192,4.071714278,e9d9f0f8eca5a4dc5476c6f5fc7faa34,"polyethylene production, low density, granulate","polyethylene, low density, granulate",RoW,1,kilogram,3411067,Polyethylene,KG,1
Pharmaceutical Formulation,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,895ad04515f3fc0240d9051cfdcd4eaf,"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",RoW,1,kilogram,3416033,Sodium carboxymethyl cellulose,T,1000
Pharmaceuticals,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,895ad04515f3fc0240d9051cfdcd4eaf,"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",RoW,1,kilogram,3416033,Sodium carboxymethyl cellulose,T,1000
Phenyl,Manufacture of other chemical products,202,2.603982374,d0e645737ddd64e2304ddf198b52b87c,phenol production,phenol,RoW,1,kilogram,3417024,Phenol crystalline,T,1000
Phenyl Acetaldehyde,Manufacture of other chemical products,202,2.603982374,d0e645737ddd64e2304ddf198b52b87c,phenol production,phenol,RoW,1,kilogram,3417024,Phenol crystalline,T,1000
Plant Growth Promoters,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,0a01c7f06154ab5cdc45cc1cdd72a22f,ammonium nitrate production,"ammonium nitrate, as N",RoW,1,kilogram,3464100,"Fertilizers containing three nutrients: nitrogen, phosphorus and potassium",T,1000
Plant growth regulator,Manufacture of other chemical products,202,2.603982374,1364fd5e300dd9404c41374d6376a7ef,"pesticide production, unspecified","pesticide, unspecified",RoW,1,kilogram,3466399,"Herbicides, anti-sprouting products and plant-growth regulators, n.e.c.",KG,1
Plastic,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e9d9f0f8eca5a4dc5476c6f5fc7faa34,"polyethylene production, low density, granulate","polyethylene, low density, granulate",RoW,1,kilogram,3633009,Film plastic,KG,1
Plastic articales,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3694035,Thermo farming producs plastic,T,1000
Plastic Bottle,Manufacture of plastics products,222,1.941952343,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,3649005,Container plastic,KG,1
Plastic Cables,Manufacture of wiring and wiring devices,273,2.792098392,e516a6bd78a88a5632d90214230ee88a,"cable production, three-conductor cable","cable, three-conductor cable",GLO,1,meter,4634002,Plastic insulated conductors for a voltage not exceeding 1000 v,T,961.5384615
Plastic caps,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3649099,"Other articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other",KG,1
Plastic carry bags,Manufacture of plastics products,222,1.941952343,459e2ebbb2c0225d5f4f332a6254e133,"packaging film production, low density polyethylene","packaging film, low density polyethylene",RoW,1,kilogram,3633009,Film plastic,KG,1
Plastic chips,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e9d9f0f8eca5a4dc5476c6f5fc7faa34,"polyethylene production, low density, granulate","polyethylene, low density, granulate",RoW,1,kilogram,3471008,Plastic/polythene granules,T,1000
Plastic components,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3694035,Thermo farming producs plastic,T,1000
Plastic Container,Manufacture of plastics products,222,1.941952343,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,3649005,Container plastic,KG,1
Plastic Covers,Manufacture of plastics products,222,1.941952343,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,3649099,"Other articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other",KG,1
Plastic Drums,Manufacture of plastics products,222,1.941952343,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,3649005,Container plastic,KG,1
Plastic granuels,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e9d9f0f8eca5a4dc5476c6f5fc7faa34,"polyethylene production, low density, granulate","polyethylene, low density, granulate",RoW,1,kilogram,3471008,Plastic/polythene granules,T,1000
Plastic granules,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e9d9f0f8eca5a4dc5476c6f5fc7faa34,"polyethylene production, low density, granulate","polyethylene, low density, granulate",RoW,1,kilogram,3471008,Plastic/polythene granules,T,1000
Plastic House hold articales,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3694035,Thermo farming producs plastic,T,1000
Plastic Injected Moulded,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3694035,Thermo farming producs plastic,T,1000
Plastic lump,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e9d9f0f8eca5a4dc5476c6f5fc7faa34,"polyethylene production, low density, granulate","polyethylene, low density, granulate",RoW,1,kilogram,3471008,Plastic/polythene granules,T,1000
Plastic Mats & Bags,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3633009,Film plastic,KG,1
Plastic processed products(Virgin Plastic),Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3694035,Thermo farming producs plastic,T,1000
Plastic Product,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3694035,Thermo farming producs plastic,T,1000
Plastic Reprocessing,Materials recovery,383,3.219869937,1a6720e85c6259e84e0f2d56e555eb44,"polyethylene production, high density, granulate, recycled","polyethylene, high density, granulate, recycled",RoW,1,kilogram,3927099,"Waste, parings and scrap of plastics n.e.c",KG,1
Plastic Rope,Manufacture of man-made fibers,203,1.894540133,8c31e0a498e6e5a08a917e234b89b7dd,"extrusion production, plastic film","extrusion, plastic film",RoW,1,kilogram,3639006,Rope plastic,KG,1
Plastic sheet,Manufacture of man-made fibers,203,1.894540133,8c31e0a498e6e5a08a917e234b89b7dd,"extrusion production, plastic film","extrusion, plastic film",RoW,1,kilogram,3633099,"Plates, sheets, film, foil and strip, of plastics, not self-adhesive, non-cellular and not reinforced,",KG,1
Plastic Waste,Materials recovery,383,3.219869937,1a6720e85c6259e84e0f2d56e555eb44,"polyethylene production, high density, granulate, recycled","polyethylene, high density, granulate, recycled",RoW,1,kilogram,3927099,"Waste, parings and scrap of plastics n.e.c",KG,1
Platic Mats,Manufacture of plastics products,222,1.941952343,3a51e1d8c2c9cd53853d68dd9a195e61,injection moulding,injection moulding,RoW,1,kilogram,3633009,Film plastic,KG,1
Plywood,"Manufacture of products of wood, cork, straw and plaiting materials",162,1.648473115,793b41f0fe3db1f44596a18dec3bddb1,"plywood production, for outdoor use","plywood, for outdoor use",RoW,1,cubic meter,3151001,Plywood,SQ.METRE,0.01905
Polymer water tank,Manufacture of plastics products,222,1.941952343,a1c8b8b34590cc019071f65e10964060,"thermoforming production, with calendering","thermoforming, with calendering",RoW,1,kilogram,3649005,Container plastic,KG,1
"Polyprolene, Potassium Carbonate, Potassium Bicarbonate","Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,8b4dadcbbbc90371595a83e7c1b0e062,"potassium carbonate production, from potassium hydroxide",potassium carbonate,GLO,1,kilogram,3424045,Potassium carbonate,T,1000
Polyster films,Manufacture of man-made fibers,203,1.894540133,8c31e0a498e6e5a08a917e234b89b7dd,"extrusion production, plastic film","extrusion, plastic film",RoW,1,kilogram,3633011,Film polyester (non metalised),T,1000
Polythelene,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e9d9f0f8eca5a4dc5476c6f5fc7faa34,"polyethylene production, low density, granulate","polyethylene, low density, granulate",RoW,1,kilogram,3471008,Plastic/polythene granules,T,1000
potassium nitrate,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e3c5a2f1f319d9743ea3ce3be4e2f833,potassium nitrate production,potassium nitrate,RoW,1,kilogram,3464600,Potassium nitrate,T,1000
Potassium nitrate,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,e3c5a2f1f319d9743ea3ce3be4e2f833,potassium nitrate production,potassium nitrate,RoW,1,kilogram,3464600,Potassium nitrate,T,1000
Poultry Feeds,Manufacture of prepared animal feeds,108,4.162608056,b81608ba23897b822b52013603a8a27c,"wheat grain, feed production","wheat grain, feed",RoW,1,kilogram,2331900,Preparations used in animal feeding n.e.c.,T,1000
Power Transformer,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",271,2.241594329,3faa213cb284e4401e52a8778fc32681,"transformer production, high voltage use","transformer, high voltage use",GLO,1,kilogram,4612199,"Electrical transformers,n.e.c",NOS,1960
Precision machine components,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,6f15ae1c6c1e49f697683743792a577a,"metal working, average for chromium steel product manufacturing","metal working, average for chromium steel product manufacturing",RoW,1,kilogram,4394900,"Machinery parts, non-electrical n.e.c.",NOS,0.0453592
Printed Circuit,Manufacture of electronic components,261,2.088342482,c70944ca847d4f6eaa3e098f60ef0ea7,"printed wiring board production, for surface mounting, Pb free surface","printed wiring board, for surface mounting, Pb free surface",GLO,1,square meter,4713099,Printed circuits; n.e.c,NOS,1
Printing & Flexibble Packing,Printing and service activites related to printing,181,1.123165273,bdf93c7ae55befc31e4c85758c062696,"offset printing, per kg printed paper","printed paper, offset",RoW,1,kilogram,3212199,Newsprint  n.e.c,KG,1
Printing names on plastic covers,Printing and service activites related to printing,181,1.123165273,bdf93c7ae55befc31e4c85758c062696,"offset printing, per kg printed paper","printed paper, offset",RoW,1,kilogram,3212199,Newsprint  n.e.c,KG,1
Printing Press,Printing and service activites related to printing,181,1.123165273,bdf93c7ae55befc31e4c85758c062696,"offset printing, per kg printed paper","printed paper, offset",RoW,1,kilogram,3212199,Newsprint  n.e.c,KG,1
"Pro bioitics, pri biotics","Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,c911b229024adde552a49792fe054cf0,enzymes production,enzymes,RoW,1,kilogram,3417009,Enzyme not used in food products,T,1000
Processing of cooking medium,Waste treatment and disposal,382,0.077311561,7e53d4a7a793c13ca1a4f673c67f5034,"treatment of used vegetable cooking oil, purification","used vegetable cooking oil, purified",RoW,1,kilogram,2154999,"Other vegetable oils, refined, n.e.c.",T,1000
PU & EVA Foot Wear,Manufacture of footwear,152,2.237873331,4db6ab40e86afab5f05c7af07da47967,"polyurethane production, flexible foam","polyurethane, flexible foam",RoW,1,kilogram,3479004,Polyurethane ( p u),T,1000
Pulp & Boards,Manufacture of paper and paper products,170,1.199184149,14f6605f8c92a58eb579f36e2ae4b6eb,"fibreboard production, soft, from wet & dry processes","fibreboard, soft",RoW,1,cubic meter,3213399,"Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled n.e.c",T,7.142857143
Pulverizer,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,4444003,Mining & ore dressing machinery,NOS,320
Purification of inorganic chemicals,Manufacture of other chemical products,202,2.603982374,7e53d4a7a793c13ca1a4f673c67f5034,"treatment of used vegetable cooking oil, purification","used vegetable cooking oil, purified",RoW,1,kilogram,3994000,Waste organic solvents,T,1000
